ngram;time_slot;df;idft;df_idft
gizi gratis sembarang;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kpk pantau proses;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
sembarang kppn urus;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
at cost bpkp;2025-08-09 13:00;3;2.1102132003465894;6.330639601039769
kppn urus transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis sembarang kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
urus transparan at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
maksimal anti korupsi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
awas maksimal anti;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis sistem kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
buka at cost;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
sistem kelola buka;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cost mark up;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
mark up awas;2025-08-09 13:00;2;1.550597412411167;3.101194824822334
kelola buka at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
at cost mark;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
mbg tantang makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis sistem;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
tantang makan gizi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
up awas maksimal;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
kpk awas proses;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis jaga;2025-08-09 13:00;3;2.803360380906535;8.410081142719605
bpkp kpk awas;2025-08-09 13:00;4;2.3978952727983707;9.591581091193483
gratis jaga mbg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anggar buka harga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
jaga mbg anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg anggar buka;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
perintah makan gizi;2025-08-09 13:00;2;2.3978952727983707;4.795790545596741
bersih awas kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
serius perintah makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bukti serius perintah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg bukti serius;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis bersih awas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
awas kelola transparan;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
mbg makan gizi;2025-08-09 13:00;9;1.0986122886681098;9.887510598012987
gizi gratis prioritas;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
prioritas bangsa proses;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
at cost pedoman;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis prioritas bangsa;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
proses buka detail;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bangsa proses buka;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
buka detail harga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
detail harga at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anggar transparan harga;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
cost awas bpkp;2025-08-09 13:00;2;2.1102132003465894;4.220426400693179
anak bangsa sehat;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
gratis anggar transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bangsa sehat dukung;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
transparan harga at;2025-08-09 13:00;3;2.1102132003465894;6.330639601039769
dukung mbg makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis anggar;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
sehat dukung mbg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
at cost kppn;2025-08-09 13:00;2;2.3978952727983707;4.795790545596741
disalahgunakan at cost;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola bpkp kpk;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg disalahgunakan at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
takut anggar makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
anggar makan gizi;2025-08-09 13:00;2;2.1102132003465894;4.220426400693179
kppn kelola bpkp;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cost kppn kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis mbg disalahgunakan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bpkp kpk mantau;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis dana;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
cost rupiah audit;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis dana transparan;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
at cost rupiah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kppn at cost;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola kppn at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
audit bpkp kpk;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
rupiah audit bpkp;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
transparan kelola kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
dana transparan kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
dukung makan gizi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
detail dana mbg;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis jaga at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
at cost transparan;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
jaga at cost;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
dana mbg makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
angan angan anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis angan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
biar anak indonesia;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis angan angan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola kppn harga;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
anggar awas bpkp;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
angan anggar awas;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
