time_slot,topic_core,ngrams,topic_score_st,Lt,Nt,Ns,max_dfidf
2025-08-09 11:00,gizi gratis,gizi gratis,0.76,1,11,55,11.846412
2025-08-09 11:00,gizi,gizi,0.76,1,11,55,11.846412
2025-08-09 11:00,makan gizi gratis,makan gizi gratis,0.76,1,11,55,11.846412
2025-08-09 11:00,gratis,gratis,0.76,1,11,55,11.846412
2025-08-09 11:00,makan,makan,0.76,1,11,55,11.846412
2025-08-09 12:00,gizi gratis,gizi gratis,0.76,1,10,50,9.694204
2025-08-09 12:00,gizi,gizi,0.76,1,10,50,9.694204
2025-08-09 12:00,makan gizi gratis,makan gizi gratis,0.76,1,10,50,9.694204
2025-08-09 12:00,gratis,gratis,0.76,1,10,50,9.694204
2025-08-09 12:00,makan,makan,0.76,1,10,50,9.694204
2025-08-09 13:00,gizi gratis,gizi gratis,0.76,1,37,185,31.100412
2025-08-09 13:00,gizi,gizi,0.76,1,37,185,31.100412
2025-08-09 13:00,makan gizi gratis,makan gizi gratis,0.76,1,37,185,31.100412
2025-08-09 13:00,gratis,gratis,0.76,1,37,185,31.100412
2025-08-09 13:00,makan,makan,0.76,1,37,185,31.100412
2025-08-09 14:00,makan,makan,0.7614,1,52,254,36.67125
2025-08-09 14:00,gratis,gratis,0.7614,1,52,254,36.67125
2025-08-09 14:00,mbg,mbg,0.7591,1,50,254,35.76516
2025-08-09 14:00,gizi gratis,gizi gratis,0.7591,1,50,254,35.287429
2025-08-09 14:00,gizi,gizi,0.7591,1,50,254,35.287429
2025-08-09 15:00,mbg,mbg,0.76,1,15,75,9.868227
2025-08-09 15:00,gizi gratis,gizi gratis,0.76,1,15,75,9.793274
2025-08-09 15:00,gizi,gizi,0.76,1,15,75,9.793274
2025-08-09 15:00,makan gizi gratis,makan gizi gratis,0.76,1,15,75,9.793274
2025-08-09 15:00,makan gizi,makan gizi,0.76,1,15,75,9.793274
2025-08-09 16:00,mbg,mbg,0.775,1,4,16,3.000881
2025-08-09 16:00,gratis mbg,gratis mbg,0.7562,1,3,16,2.9744
2025-08-09 16:00,gizi gratis mbg,gizi gratis mbg,0.7562,1,3,16,2.9744
2025-08-09 16:00,harga,harga,0.7562,1,3,16,2.845425
2025-08-09 16:00,awas,awas,0.7562,1,3,16,2.619843
2025-11-09 04:00,program makan gizi,program makan gizi,0.76,1,3,15,3.440188
2025-11-09 04:00,program makan,program makan,0.76,1,3,15,3.440188
2025-11-09 04:00,program,program,0.76,1,3,15,3.273728
2025-11-09 04:00,gizi gratis,gizi gratis,0.76,1,3,15,2.347139
2025-11-09 04:00,makan gizi gratis,makan gizi gratis,0.76,1,3,15,2.347139
2025-11-09 05:00,gizi gratis,gizi gratis,0.76,1,3,15,2.336537
2025-11-09 05:00,makan gizi gratis,makan gizi gratis,0.76,1,3,15,2.336537
2025-11-09 05:00,gizi,gizi,0.76,1,3,15,2.336537
2025-11-09 05:00,makan gizi,makan gizi,0.76,1,3,15,2.336537
2025-11-09 05:00,makan,makan,0.76,1,3,15,2.329625
2025-11-09 06:00,program,program,0.85,1,3,6,3.194026
2025-11-09 06:00,mbg,mbg,0.85,1,3,6,2.358032
2025-11-09 07:00,gizi gratis,gizi gratis,0.76,1,9,45,5.807082
2025-11-09 07:00,gizi,gizi,0.76,1,9,45,5.807082
2025-11-09 07:00,makan gizi gratis,makan gizi gratis,0.76,1,9,45,5.807082
2025-11-09 07:00,makan gizi,makan gizi,0.76,1,9,45,5.807082
2025-11-09 07:00,gratis,gratis,0.76,1,9,45,5.790392
2025-11-09 08:00,mbg,mbg,0.85,1,6,12,4.101253
2025-11-09 08:00,anak,anak,0.775,1,3,12,3.273728
2025-11-09 08:00,makan,makan,0.775,1,3,12,2.287469
2025-11-09 09:00,program,program,0.7517,1,5,29,4.566228
2025-11-09 09:00,gizi gratis,gizi gratis,0.7621,1,6,29,4.00307
2025-11-09 09:00,makan gizi gratis,makan gizi gratis,0.7621,1,6,29,4.00307
2025-11-09 09:00,gizi,gizi,0.7621,1,6,29,4.00307
2025-11-09 09:00,makan gizi,makan gizi,0.7621,1,6,29,4.00307
2025-11-09 10:00,mbg,mbg,0.7875,1,14,48,8.648828
2025-11-09 10:00,program,program,0.7562,1,9,48,7.436001
2025-11-09 10:00,gizi,gizi,0.7687,1,11,48,6.808436
2025-11-09 10:00,program makan gizi,program makan gizi,0.7437,1,7,48,6.315045
2025-11-09 10:00,program makan,program makan,0.7437,1,7,48,6.315045
2025-11-09 11:00,indonesia,indonesia,0.7429,1,3,21,5.287748
2025-11-09 11:00,mbg,mbg,0.8143,1,8,21,5.093254
2025-11-09 11:00,anak,anak,0.7571,1,4,21,3.903729
2025-11-09 11:00,sehat,sehat,0.7429,1,3,21,3.495758
2025-11-09 11:00,program makan gizi,program makan gizi,0.7429,1,3,21,3.044152
2025-11-09 12:00,mbg,mbg,0.8552,1,15,29,8.965182
2025-11-09 12:00,racun,racun,0.7414,1,4,29,4.711338
2025-11-09 12:00,racun mbg,racun mbg,0.731,1,3,29,3.948804
2025-11-09 12:00,anak,anak,0.7414,1,4,29,3.823914
2025-11-09 12:00,orang,orang,0.731,1,3,29,3.655405
2025-11-09 13:00,mbg,mbg,0.8696,1,13,23,7.709507
2025-11-09 13:00,didik,didik,0.7391,1,3,23,3.810657
2025-11-09 13:00,anggar,anggar,0.7391,1,3,23,2.936212
2025-11-09 13:00,makan,makan,0.7522,1,4,23,2.762636
2025-11-09 15:00,prabowo,prabowo,0.7667,1,4,18,7.067007
2025-11-09 15:00,mbg,mbg,0.8333,1,8,18,4.872835
2025-11-09 15:00,gizi,gizi,0.75,1,3,18,2.210109
2025-11-09 15:00,makan,makan,0.75,1,3,18,2.195474
2025-11-09 23:00,anak anak,anak anak,0.7429,1,4,28,4.569257
2025-11-09 23:00,gizi gratis,gizi gratis,0.7643,1,6,28,3.8505
2025-11-09 23:00,makan gizi gratis,makan gizi gratis,0.7643,1,6,28,3.8505
2025-11-09 23:00,makan gizi,makan gizi,0.7643,1,6,28,3.842079
2025-11-09 23:00,gratis,gratis,0.7643,1,6,28,3.833771
