time_slot,topic_core,ngrams,topic_score_st,Lt,Nt,Ns,max_dfidf
2025-02-10 16:00,mbg,mbg,0.796,1,8,25,9.0
2025-02-10 16:00,racun,racun,0.784,1,7,25,8.0
2025-02-10 16:00,racun mbg,racun mbg,0.748,1,4,25,5.0
2025-02-10 16:00,program,program,0.736,1,3,25,4.0
2025-02-10 16:00,anak,anak,0.736,1,3,25,4.0
2025-02-10 17:00,mbg,mbg,0.8143,1,8,21,7.760622
2025-02-10 17:00,racun,racun,0.7714,1,5,21,5.250871
2025-02-10 17:00,gizi,gizi,0.7571,1,4,21,4.781223
2025-02-10 17:00,racun mbg,racun mbg,0.7571,1,4,21,4.599181
2025-02-10 20:00,mbg,mbg,0.9,1,6,9,5.197553
2025-02-10 20:00,program,program,0.8,1,3,9,3.555749
2025-02-10 21:00,mbg,mbg,0.8778,1,16,27,12.078279
2025-02-10 21:00,racun,racun,0.7667,1,6,27,5.600549
2025-02-10 21:00,racun mbg,racun mbg,0.7556,1,5,27,5.03404
2025-02-10 22:00,mbg,mbg,0.8277,1,40,94,26.673273
2025-02-10 22:00,racun,racun,0.7574,1,18,94,14.344916
2025-02-10 22:00,makan,makan,0.7415,1,13,94,11.903838
2025-02-10 22:00,gizi,gizi,0.7383,1,12,94,11.053564
2025-02-10 22:00,program,program,0.7351,1,11,94,9.940971
2025-02-10 23:00,mbg,mbg,0.8394,1,46,99,26.80617
2025-02-10 23:00,racun,racun,0.7485,1,16,99,11.387115
2025-02-10 23:00,makan,makan,0.7424,1,14,99,11.137615
2025-02-10 23:00,program,program,0.7364,1,12,99,9.652599
2025-02-10 23:00,gizi,gizi,0.7333,1,11,99,8.983434
2025-05-10 14:00,rakyat indonesia,rakyat indonesia,0.7706,1,4,17,7.5
2025-05-10 14:00,indonesia,indonesia,0.7706,1,4,17,6.467185
2025-05-10 14:00,prima tni,prima tni,0.7529,1,3,17,6.0
2025-05-10 14:00,rakyat indonesia maju,rakyat indonesia maju,0.7529,1,3,17,6.0
2025-05-10 14:00,tni prima,tni prima,0.7529,1,3,17,6.0
2025-05-10 15:00,gizi,gizi,0.7706,1,4,17,3.366799
2025-05-10 15:00,sehat,sehat,0.7529,1,3,17,3.313657
2025-05-10 15:00,makan,makan,0.7706,1,4,17,3.299068
2025-05-10 15:00,gizi gratis,gizi gratis,0.7529,1,3,17,2.88147
2025-05-10 15:00,makan gizi gratis,makan gizi gratis,0.7529,1,3,17,2.88147
2025-05-10 16:00,racun mbg,racun mbg,0.7711,1,9,38,6.807336
2025-05-10 16:00,racun,racun,0.7711,1,9,38,6.218711
2025-05-10 16:00,mbg,mbg,0.7868,1,11,38,6.210382
2025-05-10 16:00,main,main,0.7395,1,5,38,5.519017
2025-05-10 16:00,main kek,main kek,0.7316,1,4,38,5.0
2025-05-10 17:00,program,program,0.79,1,3,10,2.639254
2025-05-10 17:00,mbg,mbg,0.82,1,4,10,2.548145
2025-05-10 17:00,racun,racun,0.79,1,3,10,2.411758
2025-05-10 19:00,gizi gratis,gizi gratis,0.76,1,8,40,6.161299
2025-05-10 19:00,makan gizi gratis,makan gizi gratis,0.76,1,8,40,6.161299
2025-05-10 19:00,gratis,gratis,0.76,1,8,40,6.126603
2025-05-10 19:00,makan gizi,makan gizi,0.76,1,8,40,6.092932
2025-05-10 19:00,gizi,gizi,0.76,1,8,40,5.803054
2025-05-10 22:00,mbg,mbg,0.82,1,16,40,8.541683
2025-05-10 22:00,program,program,0.7525,1,7,40,5.092939
2025-05-10 22:00,gizi,gizi,0.7525,1,7,40,4.974969
2025-05-10 22:00,makan,makan,0.745,1,6,40,4.291271
2025-05-10 22:00,siswa,siswa,0.73,1,4,40,4.195034
2025-05-10 23:00,mbg,mbg,0.8179,1,44,112,22.189035
2025-05-10 23:00,program,program,0.7536,1,20,112,13.011481
2025-05-10 23:00,gizi,gizi,0.7482,1,18,112,11.530403
2025-05-10 23:00,program mbg,program mbg,0.7375,1,14,112,11.529327
2025-05-10 23:00,anak,anak,0.7429,1,16,112,11.447116
