time_slot;topic_id;topic_terms;max_dfidf;term_count
2025-08-09 10:00;2025-08-09 10:00_T1;bondowoso nutrisi penuh;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T2;langsung program mbg;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T3;gizi gratis smkn;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T4;gratis smkn bondowoso;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T5;penuh semangat ajar;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T6;semangat ajar kuat;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T7;smkn bondowoso nutrisi;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T8;nutrisi penuh semangat;2.803360380906535;1
2025-08-09 10:00;2025-08-09 10:00_T9;program mbg makan;2.1102132003465894;1
2025-08-09 10:00;2025-08-09 10:00_T10;mbg makan gizi;1.0986122886681098;1
2025-08-09 17:00;2025-08-09 17:00_T1;kppn buka awas;2.803360380906535;1
2025-08-09 17:00;2025-08-09 17:00_T2;kpk sesuai harga;2.803360380906535;1
2025-08-09 17:00;2025-08-09 17:00_T3;pasar perintah hadir;2.803360380906535;1
2025-08-09 17:00;2025-08-09 17:00_T4;perintah hadir nyata;2.803360380906535;1
2025-08-09 17:00;2025-08-09 17:00_T5;anak indonesia kelola, anak sekolah ruang;2.803360380906535;2
2025-08-09 17:00;2025-08-09 17:00_T6;kelola kppn buka;2.803360380906535;1
2025-08-09 17:00;2025-08-09 17:00_T7;bpkp kpk sesuai;2.803360380906535;1
2025-08-09 17:00;2025-08-09 17:00_T8;indonesia kelola kppn;2.803360380906535;1
2025-08-09 17:00;2025-08-09 17:00_T9;transparansi mbg bikin;2.803360380906535;1
2025-08-09 18:00;2025-08-09 18:00_T1;biar tenang makan;2.803360380906535;1
2025-08-09 18:00;2025-08-09 18:00_T2;mbg kelola mark;2.803360380906535;1
2025-08-09 18:00;2025-08-09 18:00_T3;gratis rp ribu, gratis mbg kelola;2.803360380906535;2
2025-08-09 18:00;2025-08-09 18:00_T4;gizi gratis rp;2.803360380906535;1
2025-08-09 18:00;2025-08-09 18:00_T5;tenang makan gizi;2.803360380906535;1
2025-08-09 18:00;2025-08-09 18:00_T6;ribu porsi jawab;2.803360380906535;1
2025-08-09 18:00;2025-08-09 18:00_T7;rp ribu porsi;2.803360380906535;1
2025-08-09 18:00;2025-08-09 18:00_T8;kelola mark up;2.3978952727983707;1
2025-08-09 18:00;2025-08-09 18:00_T9;biaya makan gizi;2.3978952727983707;1
2025-08-09 19:00;2025-08-09 19:00_T1;dasar kisah nyata;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T2;anggota kabinet orang;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T3;nyata komik bikin;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T4;mbg karya fiksi;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T5;pagi anggota kabinet;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T6;karya fiksi dasar;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T7;senin pagi anggota;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T8;bikin senin pagi;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T9;fiksi dasar kisah;2.803360380906535;1
2025-08-09 19:00;2025-08-09 19:00_T10;kisah nyata komik;2.803360380906535;1
2025-08-09 22:00;2025-08-09 22:00_T1;peran krusial program;2.803360380906535;1
2025-08-09 22:00;2025-08-09 22:00_T2;krusial program makan;2.803360380906535;1
2025-08-09 22:00;2025-08-09 22:00_T3;umkm peran krusial;2.803360380906535;1
2025-08-09 22:00;2025-08-09 22:00_T4;program makan gizi;0.3610133455373305;1
2025-08-09 22:00;2025-08-09 22:00_T5;makan gizi gratis;0.06252035698133393;1
2025-11-09 23:00;2025-11-09 23:00_T1;anak anak jamin, anak jamin tumbuh;5.60672076181307;2
2025-11-09 23:00;2025-11-09 23:00_T2;tumbuh cerdas inovasi;5.60672076181307;1
2025-11-09 23:00;2025-11-09 23:00_T3;jamin tumbuh cerdas;5.60672076181307;1
2025-11-09 23:00;2025-11-09 23:00_T4;bahagia program makan;5.60672076181307;1
2025-11-09 23:00;2025-11-09 23:00_T5;kabar bahagia program;5.60672076181307;1
2025-11-09 23:00;2025-11-09 23:00_T6;tingkat gizi anak;5.60672076181307;1
2025-11-09 23:00;2025-11-09 23:00_T7;gizi gratis tingkat, gizi anak anak;5.60672076181307;2
2025-11-09 23:00;2025-11-09 23:00_T8;gratis tingkat gizi;5.60672076181307;1
2025-11-09 17:00;2025-11-09 17:00_T1;anak indonesia tumbuh, anak anak indonesia;4.795790545596741;2
2025-11-09 17:00;2025-11-09 17:00_T2;tumbuh sehat cerdas;4.795790545596741;1
2025-11-09 17:00;2025-11-09 17:00_T3;indonesia tumbuh sehat;4.795790545596741;1
2025-11-09 17:00;2025-11-09 17:00_T4;dapat masuk akal;2.803360380906535;1
2025-11-09 17:00;2025-11-09 17:00_T5;masuk akal mbg;2.803360380906535;1
2025-11-09 17:00;2025-11-09 17:00_T6;ansar ahmad wapres;2.803360380906535;1
2025-11-09 17:00;2025-11-09 17:00_T7;raka meninjaul mbg;2.803360380906535;1
2025-11-09 17:00;2025-11-09 17:00_T8;wapres ri gibran;2.803360380906535;1
2025-11-09 17:00;2025-11-09 17:00_T9;meninjaul mbg smkn;2.803360380906535;1
2025-11-09 11:00;2025-11-09 11:00_T1;anak indonesia tumbuh, anak anak indonesia;4.795790545596741;2
2025-11-09 11:00;2025-11-09 11:00_T2;indonesia tumbuh sehat;4.795790545596741;1
2025-11-09 11:00;2025-11-09 11:00_T3;tumbuh sehat cerdas;4.795790545596741;1
2025-11-09 11:00;2025-11-09 11:00_T4;rasa jangka spt;2.803360380906535;1
2025-11-09 11:00;2025-11-09 11:00_T5;miliar gulden pakai;2.803360380906535;1
2025-11-09 11:00;2025-11-09 11:00_T6;pakai uang an;2.803360380906535;1
2025-11-09 11:00;2025-11-09 11:00_T7;posyandu cegah stunting;2.803360380906535;1
2025-11-09 11:00;2025-11-09 11:00_T8;menu khusus paud;2.803360380906535;1
2025-11-09 11:00;2025-11-09 11:00_T9;pantau salah dapur;2.803360380906535;1
2025-11-09 10:00;2025-11-09 10:00_T1;lulus gizi d;5.60672076181307;1
2025-11-09 10:00;2025-11-09 10:00_T2;staf ahli gizi;5.60672076181307;1
2025-11-09 10:00;2025-11-09 10:00_T3;gizi d s, gizi program makan;5.60672076181307;2
2025-11-09 10:00;2025-11-09 10:00_T4;s staf ahli;5.60672076181307;1
2025-11-09 10:00;2025-11-09 10:00_T5;kab tasikmalaya sukaratu;5.60672076181307;1
2025-11-09 10:00;2025-11-09 10:00_T6;d s staf;5.60672076181307;1
2025-11-09 10:00;2025-11-09 10:00_T7;ahli gizi program;5.60672076181307;1
2025-11-09 10:00;2025-11-09 10:00_T8;gratis mbg tempat;5.60672076181307;1
2025-11-09 10:00;2025-11-09 10:00_T9;mbg tempat kab;5.60672076181307;1
2025-11-09 12:00;2025-11-09 12:00_T1;isi mbg nasi;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T2;koruptor murid siswa;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T3;makan mbg t;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T4;murid siswa racun;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T5;a i k;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T6;racun makan mbg;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T7;mbg hasil koruptor;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T8;hasil koruptor murid;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T9;t a i;2.803360380906535;1
2025-11-09 12:00;2025-11-09 12:00_T10;i k menu;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T1;pakai data coba;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T2;kesejateraan rakyat mbg;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T3;racun generasi bangsa;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T4;ngomong orang pintar;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T5;tingkat kesejateraan rakyat;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T6;pintar pakai data;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T7;orang pintar pakai;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T8;rakyat mbg racun;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T9;mbg racun generasi;2.803360380906535;1
2025-11-09 06:00;2025-11-09 06:00_T10;data coba program;2.803360380906535;1
