ngram,time_slot,df,sum_df_prev,trend_score,boost,is_entity,entity_type
mbg,2025-02-10 16:00,8,0,9.0,1.0,False,NON-ENT
racun,2025-02-10 16:00,7,0,8.0,1.0,False,NON-ENT
racun mbg,2025-02-10 16:00,4,0,5.0,1.0,False,NON-ENT
program,2025-02-10 16:00,3,0,4.0,1.0,False,NON-ENT
anak,2025-02-10 16:00,3,0,4.0,1.0,False,NON-ENT
mbg,2025-02-10 17:00,8,8,7.760622,1.0,False,NON-ENT
racun,2025-02-10 17:00,5,7,5.250871,1.0,False,NON-ENT
gizi,2025-02-10 17:00,4,2,4.781223,1.0,False,NON-ENT
racun mbg,2025-02-10 17:00,4,4,4.599181,1.0,False,NON-ENT
mbg,2025-02-10 18:00,5,16,4.701434,1.0,False,NON-ENT
mbg,2025-02-10 20:00,6,22,5.197553,1.0,False,NON-ENT
program,2025-02-10 20:00,3,6,3.555749,1.0,False,NON-ENT
mbg,2025-02-10 21:00,16,28,12.078279,1.0,False,NON-ENT
racun,2025-02-10 21:00,6,14,5.600549,1.0,False,NON-ENT
racun mbg,2025-02-10 21:00,5,10,5.03404,1.0,False,NON-ENT
mbg,2025-02-10 22:00,40,44,26.673273,1.0,False,NON-ENT
racun,2025-02-10 22:00,18,20,14.344916,1.0,False,NON-ENT
makan,2025-02-10 22:00,13,9,11.903838,1.0,False,NON-ENT
gizi,2025-02-10 22:00,12,9,11.053564,1.0,False,NON-ENT
program,2025-02-10 22:00,11,11,9.940971,1.0,False,NON-ENT
mbg,2025-02-10 23:00,46,84,26.80617,1.0,False,NON-ENT
racun,2025-02-10 23:00,16,38,11.387115,1.0,False,NON-ENT
makan,2025-02-10 23:00,14,22,11.137615,1.0,False,NON-ENT
program,2025-02-10 23:00,12,22,9.652599,1.0,False,NON-ENT
gizi,2025-02-10 23:00,11,21,8.983434,1.0,False,NON-ENT
rakyat indonesia,2025-05-10 14:00,4,0,7.5,1.5,True,LOCATION
indonesia,2025-05-10 14:00,4,8,6.467185,1.5,True,LOCATION
prima tni,2025-05-10 14:00,3,0,6.0,1.5,True,ORGANIZATION
rakyat indonesia maju,2025-05-10 14:00,3,0,6.0,1.5,True,LOCATION
tni prima,2025-05-10 14:00,3,0,6.0,1.5,True,ORGANIZATION
gizi,2025-05-10 15:00,4,37,3.366799,1.0,False,NON-ENT
sehat,2025-05-10 15:00,3,11,3.313657,1.0,False,NON-ENT
makan,2025-05-10 15:00,4,41,3.299068,1.0,False,NON-ENT
gizi gratis,2025-05-10 15:00,3,26,2.88147,1.0,False,NON-ENT
makan gizi gratis,2025-05-10 15:00,3,26,2.88147,1.0,False,NON-ENT
racun mbg,2025-05-10 16:00,9,35,6.807336,1.0,False,NON-ENT
racun,2025-05-10 16:00,9,55,6.218711,1.0,False,NON-ENT
mbg,2025-05-10 16:00,11,136,6.210382,1.0,False,NON-ENT
main,2025-05-10 16:00,5,4,5.519017,1.0,False,NON-ENT
main kek,2025-05-10 16:00,4,0,5.0,1.0,False,NON-ENT
program,2025-05-10 17:00,3,41,2.639254,1.0,False,NON-ENT
mbg,2025-05-10 17:00,4,147,2.548145,1.0,False,NON-ENT
racun,2025-05-10 17:00,3,64,2.411758,1.0,False,NON-ENT
gizi gratis,2025-05-10 19:00,8,34,6.161299,1.0,False,NON-ENT
makan gizi gratis,2025-05-10 19:00,8,34,6.161299,1.0,False,NON-ENT
gratis,2025-05-10 19:00,8,35,6.126603,1.0,False,NON-ENT
makan gizi,2025-05-10 19:00,8,36,6.092932,1.0,False,NON-ENT
gizi,2025-05-10 19:00,8,46,5.803054,1.0,False,NON-ENT
mbg,2025-05-10 21:00,3,155,2.017376,1.0,False,NON-ENT
mbg,2025-05-10 22:00,16,158,8.541683,1.0,False,NON-ENT
program,2025-05-10 22:00,7,49,5.092939,1.0,False,NON-ENT
gizi,2025-05-10 22:00,7,55,4.974969,1.0,False,NON-ENT
makan,2025-05-10 22:00,6,59,4.291271,1.0,False,NON-ENT
siswa,2025-05-10 22:00,4,10,4.195034,1.0,False,NON-ENT
mbg,2025-05-10 23:00,44,174,22.189035,1.0,False,NON-ENT
program,2025-05-10 23:00,20,56,13.011481,1.0,False,NON-ENT
gizi,2025-05-10 23:00,18,62,11.530403,1.0,False,NON-ENT
program mbg,2025-05-10 23:00,14,18,11.529327,1.0,False,NON-ENT
anak,2025-05-10 23:00,16,37,11.447116,1.0,False,NON-ENT
