created_at,full_text,tweet_url,media,relevan,link,case_folding,noise_removed,non_alpha_removed,stopword_removed,clean_text
23/09/2025 23:42,Gaji Pegawai MBG lebih besar dari gaji guru Honorer. Ada disuatu daerah gaji guru 1 2 juta. Sedngkan Gaji Pegawai MBG bisa tembus 3 juta. Kan lucu sekali. menaikkan gaji guru alasannya nggk ada dana... #4nje3n664k? https://t.co/ujsFSWEyQD,https://x.com/undefined/status/1970634951898079335,individual,relevan,https://x.com/undefined/status/1970634951898079335,gaji pegawai mbg lebih besar dari gaji guru honorer. ada disuatu daerah gaji guru 1 2 juta. sedngkan gaji pegawai mbg bisa tembus 3 juta. kan lucu sekali. menaikkan gaji guru alasannya nggk ada dana... #4nje3n664k? https://t.co/ujsfsweyqd,gaji pegawai mbg lebih besar dari gaji guru honorer. ada disuatu daerah gaji guru 1 2 juta. sedngkan gaji pegawai mbg bisa tembus 3 juta. kan lucu sekali. menaikkan gaji guru alasannya nggk ada dana... ? ,gaji pegawai mbg lebih besar dari gaji guru honorer ada disuatu daerah gaji guru juta sedngkan gaji pegawai mbg bisa tembus juta kan lucu sekali menaikkan gaji guru alasannya nggk ada dana,gaji pegawai mbg gaji guru honorer disuatu daerah gaji guru juta sedngkan gaji pegawai mbg tembus juta lucu menaikkan gaji guru alasannya nggk dana,gaji pegawai mbg gaji guru honorer suatu daerah gaji guru juta sedngkan gaji pegawai mbg tembus juta lucu naik gaji guru alas nggk dana
23/09/2025 22:46,Hentikan MBG keracunan sudah merata di seluruh Indonesia berarti ada yg salah dalam pelaksanaa program ini Assalamulaikum pagi 🇲🇨🇪🇭 #keracunanmbg #mbg #hentikanmbg #stopmbg #fyp #fypage #fypreels #stopdungu https://t.co/mTxEhb7ke7,https://x.com/undefined/status/1970620912778313949,individual,relevan,https://x.com/undefined/status/1970620912778313949,hentikan mbg keracunan sudah merata di seluruh indonesia berarti ada yg salah dalam pelaksanaa program ini assalamulaikum pagi 🇲🇨🇪🇭 #keracunanmbg #mbg #hentikanmbg #stopmbg #fyp #fypage #fypreels #stopdungu https://t.co/mtxehb7ke7,hentikan mbg keracunan sudah merata di seluruh indonesia berarti ada yg salah dalam pelaksanaa program ini assalamulaikum pagi 🇲🇨🇪🇭         ,hentikan mbg keracunan sudah merata di seluruh indonesia berarti ada yg salah dalam pelaksanaa program ini assalamulaikum pagi,hentikan mbg keracunan merata indonesia salah pelaksanaa program assalamulaikum pagi,henti mbg racun rata indonesia salah pelaksanaa program assalamulaikum pagi
23/09/2025 23:43,@somexthread Emang pasti yang disalahin pertama ahli gizi banyak temen ahli gizi kerja di mbg baru 1-2 hari juga mau resign kenapa? Karena vendor sama yayasan licik bahan bakunya beli asal asalan dapur gak sesuai standar budget banyak yang dipotong lagi. Mending berhentiin aja programnya,https://x.com/undefined/status/1970635128058900500,individual,relevan,https://x.com/undefined/status/1970635128058900500,@somexthread emang pasti yang disalahin pertama ahli gizi banyak temen ahli gizi kerja di mbg baru 1-2 hari juga mau resign kenapa? karena vendor sama yayasan licik bahan bakunya beli asal asalan dapur gak sesuai standar budget banyak yang dipotong lagi. mending berhentiin aja programnya, emang pasti yang disalahin pertama ahli gizi banyak temen ahli gizi kerja di mbg baru 1-2 hari juga mau resign kenapa? karena vendor sama yayasan licik bahan bakunya beli asal asalan dapur gak sesuai standar budget banyak yang dipotong lagi. mending berhentiin aja programnya,emang pasti yang disalahin pertama ahli gizi banyak temen ahli gizi kerja di mbg baru hari juga mau resign kenapa karena vendor sama yayasan licik bahan bakunya beli asal asalan dapur gak sesuai standar budget banyak yang dipotong lagi mending berhentiin aja programnya,emang disalahin ahli gizi temen ahli gizi kerja mbg resign vendor yayasan licik bahan bakunya beli asalan dapur gak sesuai standar budget dipotong mending berhentiin programnya,emang disalahin ahli gizi temen ahli gizi kerja mbg resign vendor yayasan licik bahan baku beli asal dapur gak sesuai standar budget potong mending berhentiin program
23/09/2025 17:01,Ternyata begini hitungan kontrak vendor MBG. Kok bau amis korupsi ya? https://t.co/0W7Smm3eju,https://x.com/undefined/status/1970534041058422911,individual,relevan,https://x.com/undefined/status/1970534041058422911,ternyata begini hitungan kontrak vendor mbg. kok bau amis korupsi ya? https://t.co/0w7smm3eju,ternyata begini hitungan kontrak vendor mbg. kok bau amis korupsi ya? ,ternyata begini hitungan kontrak vendor mbg kok bau amis korupsi ya,hitungan kontrak vendor mbg bau amis korupsi,hitung kontrak vendor mbg bau amis korupsi
23/09/2025 23:29,Program bagus ..krn banyak membantu anak2 yg tak sempet sarapan...yg gak rutin bsa makan... pasti ada yg pro dan kontra... Semua berproses untuk jdi yg baik ..demi generasi kedepan... cm sedih saja klo ada terjadi masalah...ksian anak2 yg jdi korban...️️ MBG Core...seru https://t.co/Y7BvL3hGPv,https://x.com/undefined/status/1970631555686212050,individual,relevan,https://x.com/undefined/status/1970631555686212050,program bagus ..krn banyak membantu anak2 yg tak sempet sarapan...yg gak rutin bsa makan... pasti ada yg pro dan kontra... semua berproses untuk jdi yg baik ..demi generasi kedepan... cm sedih saja klo ada terjadi masalah...ksian anak2 yg jdi korban...️️ mbg core...seru https://t.co/y7bvl3hgpv,program bagus ..krn banyak membantu anak2 yg tak sempet sarapan...yg gak rutin bsa makan... pasti ada yg pro dan kontra... semua berproses untuk jdi yg baik ..demi generasi kedepan... cm sedih saja klo ada terjadi masalah...ksian anak2 yg jdi korban...️️ mbg core...seru ,program bagus krn banyak membantu anak yg tak sempet sarapan yg gak rutin bsa makan pasti ada yg pro dan kontra semua berproses untuk jdi yg baik demi generasi kedepan cm sedih saja klo ada terjadi masalah ksian anak yg jdi korban mbg core seru,program bagus krn membantu anak sempet sarapan gak rutin bsa makan pro kontra berproses jdi generasi kedepan cm sedih klo ksian anak jdi korban mbg core seru,program bagus krn bantu anak sempet sarap gak rutin bsa makan pro kontra proses jdi generasi depan cm sedih klo ksi anak jdi korban mbg core seru
23/09/2025 23:05,Ratusan Siswa Keracunan massal setelah santap Makan Bergizi Gratis (MBG). https://t.co/iO32BUcZBP,https://x.com/undefined/status/1970625482694762612,individual,relevan,https://x.com/undefined/status/1970625482694762612,ratusan siswa keracunan massal setelah santap makan bergizi gratis (mbg). https://t.co/io32buczbp,ratusan siswa keracunan massal setelah santap makan bergizi gratis (mbg). ,ratusan siswa keracunan massal setelah santap makan bergizi gratis mbg,ratusan siswa keracunan massal santap makan bergizi gratis mbg,ratus siswa racun massal santap makan gizi gratis mbg
23/09/2025 23:28,Banyaknya kasus keracunan @puanmaharani_ri minta program MBG di evaluasi total. https://t.co/UrwGEiRkRu,https://x.com/undefined/status/1970631464573354388,individual,relevan,https://x.com/undefined/status/1970631464573354388,banyaknya kasus keracunan @puanmaharani_ri minta program mbg di evaluasi total. https://t.co/urwgeirkru,banyaknya kasus keracunan  minta program mbg di evaluasi total. ,banyaknya kasus keracunan minta program mbg di evaluasi total,banyaknya keracunan program mbg evaluasi total,banyak racun program mbg evaluasi total
23/09/2025 23:53,Stop Jenderal.. Program anda gagal Entah ini program yg benar ap skema rapih utk melenyapkan para calon2 siswa cerdas kelak? (Jika program pembodohan rakyat dicabut) MBG kalian gagal Dipaksakan tanpa penelitian yg jls.. Ap emg entah ini program kalian agar anak negeri mati? https://t.co/dRwQYvwZNJ,https://x.com/undefined/status/1970637584390033562,individual,relevan,https://x.com/undefined/status/1970637584390033562,stop jenderal.. program anda gagal entah ini program yg benar ap skema rapih utk melenyapkan para calon2 siswa cerdas kelak? (jika program pembodohan rakyat dicabut) mbg kalian gagal dipaksakan tanpa penelitian yg jls.. ap emg entah ini program kalian agar anak negeri mati? https://t.co/drwqyvwznj,stop jenderal.. program anda gagal entah ini program yg benar ap skema rapih utk melenyapkan para calon2 siswa cerdas kelak? (jika program pembodohan rakyat dicabut) mbg kalian gagal dipaksakan tanpa penelitian yg jls.. ap emg entah ini program kalian agar anak negeri mati? ,stop jenderal program anda gagal entah ini program yg benar ap skema rapih utk melenyapkan para calon siswa cerdas kelak jika program pembodohan rakyat dicabut mbg kalian gagal dipaksakan tanpa penelitian yg jls ap emg entah ini program kalian agar anak negeri mati,stop jenderal program gagal program ap skema rapih melenyapkan calon siswa cerdas kelak program pembodohan rakyat dicabut mbg gagal dipaksakan penelitian jls ap emg program anak negeri mati,stop jenderal program gagal program ap skema rapih lenyap calon siswa cerdas kelak program bodoh rakyat cabut mbg gagal paksa teliti jls ap emg program anak negeri mati
23/09/2025 23:56, seorang dr. Tan pakar dibidang gizi masyarakat mengkritisi dan mengusulkan moratorium supaya MBG dievaluasi dibilang ngomong gitu karena gak suka sama presiden sama warga tiktok https://t.co/qRWPbF7Njr,https://x.com/undefined/status/1970638340346060951,individual,relevan,https://x.com/undefined/status/1970638340346060951, seorang dr. tan pakar dibidang gizi masyarakat mengkritisi dan mengusulkan moratorium supaya mbg dievaluasi dibilang ngomong gitu karena gak suka sama presiden sama warga tiktok https://t.co/qrwpbf7njr, seorang dr. tan pakar dibidang gizi masyarakat mengkritisi dan mengusulkan moratorium supaya mbg dievaluasi dibilang ngomong gitu karena gak suka sama presiden sama warga tiktok ,seorang dr tan pakar dibidang gizi masyarakat mengkritisi dan mengusulkan moratorium supaya mbg dievaluasi dibilang ngomong gitu karena gak suka sama presiden sama warga tiktok,dr tan pakar dibidang gizi masyarakat mengkritisi mengusulkan moratorium mbg dievaluasi dibilang ngomong gitu gak suka presiden warga tiktok,dr tan pakar bidang gizi masyarakat kritisi usul moratorium mbg evaluasi bilang ngomong gitu gak suka presiden warga tiktok
23/09/2025 16:43,Guru jadi budak program MBG : harus mengelola menu distribusi dan risiko keracunan tanpa insentif. Bahkan beberapa kasus di sekolah menunjukkan tanggung jawab tidak jelas. Sekolah atau orang tua? https://t.co/OvQPrAQA3X,https://x.com/undefined/status/1970529431296049209,individual,relevan,https://x.com/undefined/status/1970529431296049209,guru jadi budak program mbg : harus mengelola menu distribusi dan risiko keracunan tanpa insentif. bahkan beberapa kasus di sekolah menunjukkan tanggung jawab tidak jelas. sekolah atau orang tua? https://t.co/ovqpraqa3x,guru jadi budak program mbg : harus mengelola menu distribusi dan risiko keracunan tanpa insentif. bahkan beberapa kasus di sekolah menunjukkan tanggung jawab tidak jelas. sekolah atau orang tua? ,guru jadi budak program mbg harus mengelola menu distribusi dan risiko keracunan tanpa insentif bahkan beberapa kasus di sekolah menunjukkan tanggung jawab tidak jelas sekolah atau orang tua,guru budak program mbg mengelola menu distribusi risiko keracunan insentif sekolah tanggung sekolah orang tua,guru budak program mbg kelola menu distribusi risiko racun insentif sekolah tanggung sekolah orang tua
