time_slot,topic_core,ngrams,topic_score_st,Lt,Nt,Ns,max_dfidf
2025-09-23 16:00,mbg,mbg,0.85,1,6,12,6.809148
2025-09-23 16:00,program,program,0.775,1,3,12,4.0
2025-09-23 16:00,orang,orang,0.775,1,3,12,4.0
2025-09-23 17:00,mbg,mbg,0.825,1,5,12,5.144335
2025-09-23 17:00,racun,racun,0.8,1,4,12,4.742224
2025-09-23 17:00,racun mbg,racun mbg,0.775,1,3,12,3.890942
2025-09-23 21:00,mbg,mbg,0.82,1,4,10,3.724609
2025-09-23 21:00,program,program,0.79,1,3,10,3.627584
2025-09-23 21:00,racun,racun,0.79,1,3,10,3.490011
2025-09-23 22:00,gratis,gratis,0.7596,1,27,136,26.556453
2025-09-23 22:00,gizi,gizi,0.7618,1,28,136,26.299982
2025-09-23 22:00,makan,makan,0.764,1,29,136,26.175086
2025-09-23 22:00,gizi gratis,gizi gratis,0.7574,1,26,136,25.608009
2025-09-23 22:00,makan gizi,makan gizi,0.7574,1,26,136,25.608009
2025-09-23 23:00,mbg,mbg,0.8632,1,31,57,20.780407
2025-09-23 23:00,program,program,0.7368,1,7,57,6.457435
2025-09-23 23:00,racun,racun,0.7368,1,7,57,6.082399
2025-09-23 23:00,gak,gak,0.7263,1,5,57,5.55977
2025-09-23 23:00,makan,makan,0.7368,1,7,57,5.253209
2025-09-26 19:00,ga,ga,0.85,1,3,6,3.429557
2025-09-26 19:00,mbg,mbg,0.85,1,3,6,2.274786
2025-09-26 20:00,racun,racun,0.8091,1,4,11,3.506388
2025-09-26 20:00,mbg,mbg,0.8091,1,4,11,2.819604
2025-09-26 20:00,makan,makan,0.7818,1,3,11,2.531992
2025-09-26 21:00,mbg,mbg,0.8909,1,7,11,4.46331
2025-09-26 21:00,racun,racun,0.8091,1,4,11,3.407477
2025-09-26 22:00,mbg,mbg,0.8263,1,24,57,13.706826
2025-09-26 22:00,racun,racun,0.7632,1,12,57,8.637013
2025-09-26 22:00,racun mbg,racun mbg,0.7474,1,9,57,7.524122
2025-09-26 22:00,anak,anak,0.7368,1,7,57,5.195102
2025-09-26 22:00,korban,korban,0.7263,1,5,57,5.060573
2025-09-26 23:00,mbg,mbg,0.8333,1,32,72,17.211431
2025-09-26 23:00,bgn,bgn,0.7417,1,10,72,9.77831
2025-09-26 23:00,racun,racun,0.7542,1,13,72,8.738749
2025-09-26 23:00,program,program,0.7375,1,9,72,7.124068
2025-09-26 23:00,gizi,gizi,0.7333,1,8,72,5.724838
