ngram,time_slot,df,sum_df_prev,trend_score,boost,is_entity,entity_type
makan,2025-09-17 13:00,10,60,7.446917,1.0,False,NON-ENT
makan gizi gratis,2025-09-17 13:00,8,48,6.360544,1.0,False,NON-ENT
gizi gratis,2025-09-17 13:00,8,49,6.335771,1.0,False,NON-ENT
makan gizi,2025-09-17 13:00,8,49,6.335771,1.0,False,NON-ENT
gratis,2025-09-17 13:00,8,54,6.219086,1.0,False,NON-ENT
gratis,2025-09-17 14:00,10,62,7.399104,1.0,False,NON-ENT
makan gizi gratis,2025-09-17 14:00,9,56,6.861642,1.0,False,NON-ENT
gizi gratis,2025-09-17 14:00,9,57,6.838084,1.0,False,NON-ENT
makan gizi,2025-09-17 14:00,9,57,6.838084,1.0,False,NON-ENT
gizi,2025-09-17 14:00,9,69,6.585386,1.0,False,NON-ENT
racun,2025-09-17 15:00,6,38,5.164574,1.0,False,NON-ENT
mbg,2025-09-17 15:00,7,145,4.530225,1.0,False,NON-ENT
kamtibmas,2025-09-17 15:00,3,2,3.890942,1.0,False,NON-ENT
batang gadis aiptu,2025-09-17 15:00,3,3,3.84101,1.0,False,NON-ENT
gadis aiptu,2025-09-17 15:00,3,3,3.84101,1.0,False,NON-ENT
program makan gizi,2025-09-17 16:00,14,38,11.066945,1.0,False,NON-ENT
program makan,2025-09-17 16:00,14,39,11.015417,1.0,False,NON-ENT
program,2025-09-17 16:00,15,64,10.69514,1.0,False,NON-ENT
indonesia,2025-09-17 16:00,7,11,10.566519,1.5,True,LOCATION
makan,2025-09-17 16:00,15,82,10.177491,1.0,False,NON-ENT
presiden,2025-09-17 17:00,3,9,5.38627,1.5,True,PERSON
mbg,2025-09-17 17:00,8,167,4.952279,1.0,False,NON-ENT
program,2025-09-17 17:00,4,79,3.204501,1.0,False,NON-ENT
racun,2025-09-17 17:00,3,46,2.849627,1.0,False,NON-ENT
makan gizi gratis,2025-09-17 17:00,3,81,2.550692,1.0,False,NON-ENT
mbg,2025-09-17 19:00,5,177,3.26291,1.0,False,NON-ENT
racun,2025-09-17 22:00,5,53,4.161012,1.0,False,NON-ENT
mbg,2025-09-17 22:00,6,184,3.777062,1.0,False,NON-ENT
program,2025-09-17 22:00,4,84,3.16499,1.0,False,NON-ENT
makan gizi gratis,2025-09-17 22:00,3,85,2.525928,1.0,False,NON-ENT
gizi gratis,2025-09-17 22:00,3,86,2.519944,1.0,False,NON-ENT
makan,2025-09-17 23:00,14,105,9.073244,1.0,False,NON-ENT
mbg,2025-09-17 23:00,15,190,8.577702,1.0,False,NON-ENT
gratis,2025-09-17 23:00,12,95,8.025738,1.0,False,NON-ENT
gizi,2025-09-17 23:00,12,102,7.910176,1.0,False,NON-ENT
racun,2025-09-17 23:00,10,58,7.496449,1.0,False,NON-ENT
