ngram,time_slot,df,sum_df_prev,trend_score,boost,is_entity,entity_type
mbg,2025-09-14 09:00,6,0,7.0,1.0,False,NON-ENT
mbg,2025-09-14 10:00,5,6,5.55977,1.0,False,NON-ENT
mbg,2025-09-14 11:00,10,11,9.685975,1.0,False,NON-ENT
program,2025-09-14 11:00,4,3,4.801263,1.0,False,NON-ENT
guru,2025-09-14 11:00,3,0,4.0,1.0,False,NON-ENT
program mbg,2025-09-14 11:00,3,1,3.943838,1.0,False,NON-ENT
mbg,2025-09-14 12:00,8,21,7.314404,1.0,False,NON-ENT
makan,2025-09-14 12:00,6,4,6.639113,1.0,False,NON-ENT
racun,2025-09-14 12:00,4,4,4.742224,1.0,False,NON-ENT
gizi,2025-09-14 12:00,4,6,4.633142,1.0,False,NON-ENT
berita,2025-09-14 12:00,3,0,4.0,1.0,False,NON-ENT
mbg,2025-09-14 13:00,7,29,6.183667,1.0,False,NON-ENT
gratis,2025-09-14 13:00,4,6,4.633142,1.0,False,NON-ENT
makan,2025-09-14 13:00,4,10,4.444686,1.0,False,NON-ENT
gizi,2025-09-14 13:00,4,10,4.444686,1.0,False,NON-ENT
program,2025-09-14 13:00,3,8,3.627584,1.0,False,NON-ENT
gizi gratis,2025-09-14 14:00,16,7,15.580886,1.0,False,NON-ENT
makan gizi gratis,2025-09-14 14:00,16,7,15.580886,1.0,False,NON-ENT
makan gizi,2025-09-14 14:00,16,8,15.417231,1.0,False,NON-ENT
gratis,2025-09-14 14:00,16,10,15.111934,1.0,False,NON-ENT
gizi,2025-09-14 14:00,16,14,14.575617,1.0,False,NON-ENT
mbg,2025-09-14 15:00,16,47,12.062132,1.0,False,NON-ENT
gizi,2025-09-14 15:00,7,30,6.148974,1.0,False,NON-ENT
sumber,2025-09-14 15:00,4,0,5.0,1.0,False,NON-ENT
program,2025-09-14 15:00,5,20,4.910591,1.0,False,NON-ENT
gizi gratis,2025-09-14 15:00,5,23,4.810951,1.0,False,NON-ENT
mbg,2025-09-14 16:00,18,63,12.740035,1.0,False,NON-ENT
makan,2025-09-14 16:00,9,35,7.486195,1.0,False,NON-ENT
program,2025-09-14 16:00,8,25,7.124529,1.0,False,NON-ENT
gratis,2025-09-14 16:00,8,31,6.879637,1.0,False,NON-ENT
gizi gratis,2025-09-14 16:00,7,28,6.219356,1.0,False,NON-ENT
mbg,2025-09-14 17:00,6,81,4.463711,1.0,False,NON-ENT
gizi,2025-09-14 17:00,3,44,2.873335,1.0,False,NON-ENT
mbg,2025-09-14 21:00,3,88,2.508213,1.0,False,NON-ENT
mbg,2025-09-14 22:00,4,91,3.113976,1.0,False,NON-ENT
mbg,2025-09-14 23:00,11,95,7.408373,1.0,False,NON-ENT
sekolah,2025-09-14 23:00,4,7,4.582613,1.0,False,NON-ENT
anggota dewan,2025-09-14 23:00,3,3,3.84101,1.0,False,NON-ENT
dewan,2025-09-14 23:00,3,3,3.84101,1.0,False,NON-ENT
anggota,2025-09-14 23:00,3,9,3.590847,1.0,False,NON-ENT
mbg,2025-09-17 10:00,5,108,3.608463,1.0,False,NON-ENT
gratis,2025-09-17 11:00,7,43,5.771166,1.0,False,NON-ENT
makan,2025-09-17 11:00,7,49,5.631797,1.0,False,NON-ENT
mbg,2025-09-17 11:00,8,113,5.362842,1.0,False,NON-ENT
makan gizi gratis,2025-09-17 11:00,6,38,5.164574,1.0,False,NON-ENT
gizi gratis,2025-09-17 11:00,6,39,5.140528,1.0,False,NON-ENT
mbg,2025-09-17 12:00,8,121,5.288345,1.0,False,NON-ENT
racun,2025-09-17 12:00,4,28,3.887098,1.0,False,NON-ENT
makan gizi gratis,2025-09-17 12:00,4,44,3.591669,1.0,False,NON-ENT
gizi gratis,2025-09-17 12:00,4,45,3.576691,1.0,False,NON-ENT
makan gizi,2025-09-17 12:00,4,45,3.576691,1.0,False,NON-ENT
