created_at,full_text,tweet_url,media,relevan,link,case_folding,noise_removed,non_alpha_removed,stopword_removed,clean_text
02/10/2025 23:15,Sebaiknya hentikan dulu saja MBG sampai benar benar siap. Sebab anggaranya jadi terbuang jika MBG pada akhirnya ditolak di sekolah-sekolah. https://t.co/jVWSfiUL7I,https://x.com/undefined/status/1973889729683992770,individual,relevan,https://x.com/undefined/status/1973889729683992770,sebaiknya hentikan dulu saja mbg sampai benar benar siap. sebab anggaranya jadi terbuang jika mbg pada akhirnya ditolak di sekolah-sekolah. https://t.co/jvwsfiul7i,sebaiknya hentikan dulu saja mbg sampai benar benar siap. sebab anggaranya jadi terbuang jika mbg pada akhirnya ditolak di sekolah-sekolah. ,sebaiknya hentikan dulu saja mbg sampai benar benar siap sebab anggaranya jadi terbuang jika mbg pada akhirnya ditolak di sekolah sekolah,hentikan mbg anggaranya terbuang mbg ditolak sekolah sekolah,henti mbg anggara buang mbg tolak sekolah sekolah
02/10/2025 23:53,Selamat Pagi Sobat PR! . Hari ini Koran Pikiran Rakyat membahas tentang berbagai kasus dari program Makan Bergizi Gratis (MBG). . Untuk pembahasan lengkapnya baca di Koran Harian Umum Pikiran Rakyat! #PikiranRakyat #PRMN #TerbarudiPikiranRakyat #Koran https://t.co/0ABxurtuEb,https://x.com/undefined/status/1973899286065852470,media,relevan,https://x.com/undefined/status/1973899286065852470,selamat pagi sobat pr! . hari ini koran pikiran rakyat membahas tentang berbagai kasus dari program makan bergizi gratis (mbg). . untuk pembahasan lengkapnya baca di koran harian umum pikiran rakyat! #pikiranrakyat #prmn #terbarudipikiranrakyat #koran https://t.co/0abxurtueb,selamat pagi sobat pr! . hari ini koran pikiran rakyat membahas tentang berbagai kasus dari program makan bergizi gratis (mbg). . untuk pembahasan lengkapnya baca di koran harian umum pikiran rakyat!     ,selamat pagi sobat pr hari ini koran pikiran rakyat membahas tentang berbagai kasus dari program makan bergizi gratis mbg untuk pembahasan lengkapnya baca di koran harian umum pikiran rakyat,selamat pagi sobat pr koran pikiran rakyat membahas program makan bergizi gratis mbg pembahasan lengkapnya baca koran harian pikiran rakyat,selamat pagi sobat pr koran pikir rakyat bahas program makan gizi gratis mbg bahas lengkap baca koran hari pikir rakyat
02/10/2025 20:26, Viral! Dapur program Makan Bergizi Gratis (MBG) di Cipatat Bandung Barat terpaksa dihentikan sementara. Alasannya? Petugas dapur ketahuan mencuci nampan dengan cara tidak higienis hanya dibilas di air menggenang yang tidak steril. #MBG #MakanBergiziGratis #BandungBarat https://t.co/dvmdrR4BzK,https://x.com/undefined/status/1973846987666792947,individual,relevan,https://x.com/undefined/status/1973846987666792947, viral! dapur program makan bergizi gratis (mbg) di cipatat bandung barat terpaksa dihentikan sementara. alasannya? petugas dapur ketahuan mencuci nampan dengan cara tidak higienis hanya dibilas di air menggenang yang tidak steril. #mbg #makanbergizigratis #bandungbarat https://t.co/dvmdrr4bzk, viral! dapur program makan bergizi gratis (mbg) di cipatat bandung barat terpaksa dihentikan sementara. alasannya? petugas dapur ketahuan mencuci nampan dengan cara tidak higienis hanya dibilas di air menggenang yang tidak steril.    ,viral dapur program makan bergizi gratis mbg di cipatat bandung barat terpaksa dihentikan sementara alasannya petugas dapur ketahuan mencuci nampan dengan cara tidak higienis hanya dibilas di air menggenang yang tidak steril,viral dapur program makan bergizi gratis mbg cipatat bandung barat terpaksa dihentikan alasannya petugas dapur ketahuan mencuci nampan higienis dibilas air menggenang steril,viral dapur program makan gizi gratis mbg cipatat bandung barat paksa henti alas tugas dapur tahu cuci nampan higienis bilas air genang steril
02/10/2025 22:24,Program Makan Bergizi Gratis (MBG) bukan sekadar soal kuantitas tetapi juga harus dijamin kualitas dan keamanannya. Tanpa pengawasan yang ketat program yang seharusnya menyehatkan justru bisa menimbulkan masalah serius di lapangan. Kasus keracunan massal yang terjadi menjadi https://t.co/FEnwcZi7yd,https://x.com/undefined/status/1973876691958436063,individual,relevan,https://x.com/undefined/status/1973876691958436063,program makan bergizi gratis (mbg) bukan sekadar soal kuantitas tetapi juga harus dijamin kualitas dan keamanannya. tanpa pengawasan yang ketat program yang seharusnya menyehatkan justru bisa menimbulkan masalah serius di lapangan. kasus keracunan massal yang terjadi menjadi https://t.co/fenwczi7yd,program makan bergizi gratis (mbg) bukan sekadar soal kuantitas tetapi juga harus dijamin kualitas dan keamanannya. tanpa pengawasan yang ketat program yang seharusnya menyehatkan justru bisa menimbulkan masalah serius di lapangan. kasus keracunan massal yang terjadi menjadi ,program makan bergizi gratis mbg bukan sekadar soal kuantitas tetapi juga harus dijamin kualitas dan keamanannya tanpa pengawasan yang ketat program yang seharusnya menyehatkan justru bisa menimbulkan masalah serius di lapangan kasus keracunan massal yang terjadi menjadi,program makan bergizi gratis mbg kuantitas dijamin kualitas keamanannya pengawasan ketat program menyehatkan menimbulkan serius lapangan keracunan massal,program makan gizi gratis mbg kuantitas jamin kualitas aman awas ketat program sehat timbul serius lapang racun massal
02/10/2025 22:37,Rocky Gerung: Program Makan Bergizi Gratis Berubah Jadi Racun karena Korupsi https://t.co/pIWUny6f5Q,https://x.com/undefined/status/1973880024123257016,media,relevan,https://x.com/undefined/status/1973880024123257016,rocky gerung: program makan bergizi gratis berubah jadi racun karena korupsi https://t.co/piwuny6f5q,rocky gerung: program makan bergizi gratis berubah jadi racun karena korupsi ,rocky gerung program makan bergizi gratis berubah jadi racun karena korupsi,rocky gerung program makan bergizi gratis berubah racun korupsi,rocky gerung program makan gizi gratis ubah racun korupsi
02/10/2025 17:08,Kasus keracunan makan bergizi gratis (MBG) menyerang ribuan siswa di berbagai daerah nih. Semoga pemerintah makin ketat awasin bahan makanan dan protokolnya ya supaya anak-anak tetap sehat dan program MBG bisa berjalan lancar! ️ #MBG #KesehatanAnak https://t.co/lBIG8ARezD,https://x.com/undefined/status/1973797124400951736,media,relevan,https://x.com/undefined/status/1973797124400951736,kasus keracunan makan bergizi gratis (mbg) menyerang ribuan siswa di berbagai daerah nih. semoga pemerintah makin ketat awasin bahan makanan dan protokolnya ya supaya anak-anak tetap sehat dan program mbg bisa berjalan lancar! ️ #mbg #kesehatananak https://t.co/lbig8arezd,kasus keracunan makan bergizi gratis (mbg) menyerang ribuan siswa di berbagai daerah nih. semoga pemerintah makin ketat awasin bahan makanan dan protokolnya ya supaya anak-anak tetap sehat dan program mbg bisa berjalan lancar! ️   ,kasus keracunan makan bergizi gratis mbg menyerang ribuan siswa di berbagai daerah nih semoga pemerintah makin ketat awasin bahan makanan dan protokolnya ya supaya anak anak tetap sehat dan program mbg bisa berjalan lancar,keracunan makan bergizi gratis mbg menyerang ribuan siswa daerah nih semoga pemerintah ketat awasin bahan makanan protokolnya anak anak sehat program mbg berjalan lancar,racun makan gizi gratis mbg serang ribu siswa daerah nih moga perintah ketat awasin bahan makan protokol anak anak sehat program mbg jalan lancar
02/10/2025 23:07,Relate buat kasus- kasus MBG di sebuah negara Shin's Project https://t.co/Qp993ZUd9X,https://x.com/undefined/status/1973887694465098035,individual,not relevan,https://x.com/undefined/status/1973887694465098035,relate buat kasus- kasus mbg di sebuah negara shin's project https://t.co/qp993zud9x,relate buat kasus- kasus mbg di sebuah negara shin's project ,relate buat kasus kasus mbg di sebuah negara shin s project,relate mbg negara shin s project,relate mbg negara shin s project
02/10/2025 22:13,BGN Ungkap Alat Rapid Test Cegah Keracunan MBG Sudah Diterapkan di SPPG Polri https://t.co/xdvboWgweY https://t.co/6lHRYkZ4wm,https://x.com/undefined/status/1973874066030567435,individual,relevan,https://x.com/undefined/status/1973874066030567435,bgn ungkap alat rapid test cegah keracunan mbg sudah diterapkan di sppg polri https://t.co/xdvbowgwey https://t.co/6lhrykz4wm,bgn ungkap alat rapid test cegah keracunan mbg sudah diterapkan di sppg polri  ,bgn ungkap alat rapid test cegah keracunan mbg sudah diterapkan di sppg polri,bgn alat rapid test cegah keracunan mbg diterapkan sppg polri,bgn alat rapid test cegah racun mbg terap sppg polri
02/10/2025 23:17,Optimalisasi Peran Kesehatan Masyarakat Veteriner dalam Program Makan Bergizi Gratis (MBG) https://t.co/t4PfCf5yGa,https://x.com/undefined/status/1973890019678150798,media,relevan,https://x.com/undefined/status/1973890019678150798,optimalisasi peran kesehatan masyarakat veteriner dalam program makan bergizi gratis (mbg) https://t.co/t4pfcf5yga,optimalisasi peran kesehatan masyarakat veteriner dalam program makan bergizi gratis (mbg) ,optimalisasi peran kesehatan masyarakat veteriner dalam program makan bergizi gratis mbg,optimalisasi peran kesehatan masyarakat veteriner program makan bergizi gratis mbg,optimalisasi peran sehat masyarakat veteriner program makan gizi gratis mbg
02/10/2025 22:27,Kasus keracunan dalam program Makan Bergizi Gratis (MBG) tidak bisa dianggap sepele. Setiap korban adalah nyawa anak yang dipertaruhkan bukan sekadar angka. Edy Wuryanto menegaskan Tidak ada kata cuma dalam urusan keracunan makanan. Ini menyangkut nyawa anak-anak kita. https://t.co/HawkTS5OOe,https://x.com/undefined/status/1973877437747638530,individual,relevan,https://x.com/undefined/status/1973877437747638530,kasus keracunan dalam program makan bergizi gratis (mbg) tidak bisa dianggap sepele. setiap korban adalah nyawa anak yang dipertaruhkan bukan sekadar angka. edy wuryanto menegaskan tidak ada kata cuma dalam urusan keracunan makanan. ini menyangkut nyawa anak-anak kita. https://t.co/hawkts5ooe,kasus keracunan dalam program makan bergizi gratis (mbg) tidak bisa dianggap sepele. setiap korban adalah nyawa anak yang dipertaruhkan bukan sekadar angka. edy wuryanto menegaskan tidak ada kata cuma dalam urusan keracunan makanan. ini menyangkut nyawa anak-anak kita. ,kasus keracunan dalam program makan bergizi gratis mbg tidak bisa dianggap sepele setiap korban adalah nyawa anak yang dipertaruhkan bukan sekadar angka edy wuryanto menegaskan tidak ada kata cuma dalam urusan keracunan makanan ini menyangkut nyawa anak anak kita,keracunan program makan bergizi gratis mbg dianggap sepele korban nyawa anak dipertaruhkan angka edy wuryanto urusan keracunan makanan nyawa anak anak,racun program makan gizi gratis mbg anggap sepele korban nyawa anak taruh angka edy wuryanto urus racun makan nyawa anak anak
