ngram,time_slot,df,sum_df_prev,trend_score,boost,is_entity,entity_type
mbg,2025-09-23 16:00,6,1,6.809148,1.0,False,NON-ENT
program,2025-09-23 16:00,3,0,4.0,1.0,False,NON-ENT
orang,2025-09-23 16:00,3,0,4.0,1.0,False,NON-ENT
mbg,2025-09-23 17:00,5,7,5.144335,1.0,False,NON-ENT
racun,2025-09-23 17:00,4,2,4.742224,1.0,False,NON-ENT
racun mbg,2025-09-23 17:00,3,1,3.890942,1.0,False,NON-ENT
mbg,2025-09-23 19:00,3,12,3.186559,1.0,False,NON-ENT
mbg,2025-09-23 20:00,3,15,3.074487,1.0,False,NON-ENT
mbg,2025-09-23 21:00,4,18,3.724609,1.0,False,NON-ENT
program,2025-09-23 21:00,3,4,3.627584,1.0,False,NON-ENT
racun,2025-09-23 21:00,3,6,3.490011,1.0,False,NON-ENT
gratis,2025-09-23 22:00,27,2,26.556453,1.0,False,NON-ENT
gizi,2025-09-23 22:00,28,4,26.299982,1.0,False,NON-ENT
makan,2025-09-23 22:00,29,6,26.175086,1.0,False,NON-ENT
gizi gratis,2025-09-23 22:00,26,2,25.608009,1.0,False,NON-ENT
makan gizi,2025-09-23 22:00,26,2,25.608009,1.0,False,NON-ENT
mbg,2025-09-23 23:00,31,37,20.780407,1.0,False,NON-ENT
program,2025-09-23 23:00,7,11,6.457435,1.0,False,NON-ENT
racun,2025-09-23 23:00,7,16,6.082399,1.0,False,NON-ENT
gak,2025-09-23 23:00,5,3,5.55977,1.0,False,NON-ENT
makan,2025-09-23 23:00,7,35,5.253209,1.0,False,NON-ENT
ga,2025-09-26 19:00,3,7,3.429557,1.0,False,NON-ENT
mbg,2025-09-26 19:00,3,71,2.274786,1.0,False,NON-ENT
racun,2025-09-26 20:00,4,25,3.506388,1.0,False,NON-ENT
mbg,2025-09-26 20:00,4,74,2.819604,1.0,False,NON-ENT
makan,2025-09-26 20:00,3,42,2.531992,1.0,False,NON-ENT
mbg,2025-09-26 21:00,7,78,4.46331,1.0,False,NON-ENT
racun,2025-09-26 21:00,4,29,3.407477,1.0,False,NON-ENT
mbg,2025-09-26 22:00,24,85,13.706826,1.0,False,NON-ENT
racun,2025-09-26 22:00,12,33,8.637013,1.0,False,NON-ENT
racun mbg,2025-09-26 22:00,9,17,7.524122,1.0,False,NON-ENT
anak,2025-09-26 22:00,7,37,5.195102,1.0,False,NON-ENT
korban,2025-09-26 22:00,5,8,5.060573,1.0,False,NON-ENT
mbg,2025-09-26 23:00,32,109,17.211431,1.0,False,NON-ENT
bgn,2025-09-26 23:00,10,5,9.77831,1.0,False,NON-ENT
racun,2025-09-26 23:00,13,45,8.738749,1.0,False,NON-ENT
program,2025-09-26 23:00,9,23,7.124068,1.0,False,NON-ENT
gizi,2025-09-26 23:00,8,41,5.724838,1.0,False,NON-ENT
