ngram,time_slot,df,sum_df_prev,trend_score,boost,is_entity,entity_type
anggar,2025-11-09 13:00,3,43,2.936212,1.0,False,NON-ENT
makan,2025-11-09 13:00,4,180,2.762636,1.0,False,NON-ENT
mbg,2025-11-09 14:00,3,196,2.172353,1.0,False,NON-ENT
prabowo,2025-11-09 15:00,4,5,7.067007,1.5,True,PERSON
mbg,2025-11-09 15:00,8,199,4.872835,1.0,False,NON-ENT
gizi,2025-11-09 15:00,3,180,2.210109,1.0,False,NON-ENT
makan,2025-11-09 15:00,3,186,2.195474,1.0,False,NON-ENT
mbg,2025-11-09 17:00,4,209,2.680532,1.0,False,NON-ENT
mbg,2025-11-09 22:00,3,217,2.128309,1.0,False,NON-ENT
anak anak,2025-11-09 23:00,4,8,4.569257,1.0,False,NON-ENT
gizi gratis,2025-11-09 23:00,6,184,3.8505,1.0,False,NON-ENT
makan gizi gratis,2025-11-09 23:00,6,184,3.8505,1.0,False,NON-ENT
makan gizi,2025-11-09 23:00,6,186,3.842079,1.0,False,NON-ENT
gratis,2025-11-09 23:00,6,188,3.833771,1.0,False,NON-ENT
